item_desc,category_desc,sub_category_desc,item_number
พิชา ไวท์ เซรั่ม,เวชสำอางค์,ผิวขาว,1
โปรสกิน 12 แคปซูล,เวชสำอางค์,ลดเลือนริ้วรอย,2
โปรวาเมด กลูต้า ไบร์ท คลีนซิ่ง เจล,เวชสำอางค์,รอบดวงตา,3
ยูเซอริน ไวท์ เธอราพี คลีนซิ่ง เจล,เวชสำอางค์,ผิวขาว,4
ยูเซอริน ไวท์ เธอราพี คลีนซิ่ง โฟม 150 กรัม,เวชสำอางค์,ผิวขาว,5
โปรวาเมด ซัน เอสพีเอฟ 50 (สีขาว) 15ก.,เวชสำอางค์,กันแดด,6
เทริสเดย์ แพลนเทชั่น ที ทรี เดลี่ เฟช คลีนเซอร์,เวชสำอางค์,ลดเลือนรอยแผลเป็น,7
ฮาดะลาโบะ อาร์บูดิน ไวท์เทนนิ่ง เฟสวอช,เวชสำอางค์,ผิวขาว,8
ฟาร์มาเพียว แอคเน่ คอนโทรล คลีนเซอร์,เวชสำอางค์,ลดเลือนรอยแผลเป็น,9
บิเฟสต้าคลีนซิ่งลิควิด,เวชสำอางค์,รอบดวงตา,10
เทริสเดย์ แพลนเทชั่น ที ทรี แอนเน่ เจล,เวชสำอางค์,ลดเลือนรอยแผลเป็น,11
บิเฟสต้าคลีนซิ่งไบรทอัพ,เวชสำอางค์,รอบดวงตา,12
ฮีรูสการ์ เจล 7 กรัม,เวชสำอางค์,ลดเลือนรอยแผลเป็น,13
บิเฟสต้าอายรีมูฟเวอร์,เวชสำอางค์,รอบดวงตา,14
บิเฟสต้าคลีนซิ่งมอยส์,เวชสำอางค์,รอบดวงตา,15
ฮาดะลาโบะ อาร์บูติน โลชั่น,เวชสำอางค์,ผิวขาว,16
ยูเซอรินเดอร์มาโทคลีนแคริฟายอิ่งโทนเนอร์,เวชสำอางค์,รอบดวงตา,17
โปรวาเมด กลูต้าไบโอเซรั่ม,เวชสำอางค์,ผิวขาว,18
เมดเมเกอร์ ปิโตรเลี่ยม เจลลี่ เบบี้ 50 กรัม(MD),เวชสำอางค์,ผิวแพ้ง่าย,19
