item_desc,category_desc,sub_category_desc,item_number,skin_concern_cat_id,skin_concern_cat_name
พิชา ไวท์ เซรั่ม,เวชสำอางค์,ผิวขาว,1,1,Whitening
โปรสกิน 12 แคปซูล,เวชสำอางค์,ลดเลือนริ้วรอย,2,2,Anti-Aging
โปรวาเมด กลูต้า ไบร์ท คลีนซิ่ง เจล,เวชสำอางค์,รอบดวงตา,3,4,Eye Care
ยูเซอริน ไวท์ เธอราพี คลีนซิ่ง เจล,เวชสำอางค์,ผิวขาว,4,1,Whitening
ยูเซอริน ไวท์ เธอราพี คลีนซิ่ง โฟม 150 กรัม,เวชสำอางค์,ผิวขาว,5,1,Whitening
โปรวาเมด ซัน เอสพีเอฟ 50 (สีขาว) 15ก.,เวชสำอางค์,กันแดด,6,0,Not Used
เทริสเดย์ แพลนเทชั่น ที ทรี เดลี่ เฟช คลีนเซอร์,เวชสำอางค์,ลดเลือนรอยแผลเป็น,7,0,Not Used
ฮาดะลาโบะ อาร์บูดิน ไวท์เทนนิ่ง เฟสวอช,เวชสำอางค์,ผิวขาว,8,1,Whitening
ฟาร์มาเพียว แอคเน่ คอนโทรล คลีนเซอร์,เวชสำอางค์,ลดเลือนรอยแผลเป็น,9,0,Not Used
บิเฟสต้าคลีนซิ่งลิควิด,เวชสำอางค์,รอบดวงตา,10,4,Eye Care
เทริสเดย์ แพลนเทชั่น ที ทรี แอนเน่ เจล,เวชสำอางค์,ลดเลือนรอยแผลเป็น,11,0,Not Used
บิเฟสต้าคลีนซิ่งไบรทอัพ,เวชสำอางค์,รอบดวงตา,12,4,Eye Care
ฮีรูสการ์ เจล 7 กรัม,เวชสำอางค์,ลดเลือนรอยแผลเป็น,13,0,Not Used
บิเฟสต้าอายรีมูฟเวอร์,เวชสำอางค์,รอบดวงตา,14,4,Eye Care
บิเฟสต้าคลีนซิ่งมอยส์,เวชสำอางค์,รอบดวงตา,15,4,Eye Care
ฮาดะลาโบะ อาร์บูติน โลชั่น,เวชสำอางค์,ผิวขาว,16,1,Whitening
